C¢digo;Descriá∆o;Data In°cio;Data Fim;Ato Legal In°cio;N£mero;Ano
2009.89.22;Com valor Brix superior a 7,4;01/04/2022;31/12/9999;Res Camex;272;2021
2009.89.90;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
2009.90.00;- Misturas de sucos (sumos);01/04/2022;31/12/9999;Res Camex;272;2021
21;Preparaá‰es aliment°cias diversas.;01/04/2022;31/12/9999;Res Camex;272;2021
21.01;"Extratos, essàncias e concentrados de cafÇ, ch† ou mate e preparaá‰es Ö base destes produtos ou Ö base de cafÇ, ch† ou mate; chic¢ria torrada e outros sucedÉneos torrados do cafÇ e respectivos extratos, essàncias e concentrados.";01/04/2022;31/12/9999;Res Camex;272;2021
2101.1;- Extratos, essàncias e concentrados de cafÇ e preparaá‰es Ö base destes extratos, essàncias ou concentrados ou Ö base de cafÇ:;01/04/2022;31/12/9999;Res Camex;272;2021
2101.11;-- Extratos, essàncias e concentrados;01/04/2022;31/12/9999;Res Camex;272;2021
2101.11.10;CafÇ sol£vel, mesmo descafeinado;01/04/2022;31/12/9999;Res Camex;272;2021
2101.11.90;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
2101.12.00;-- Preparaá‰es Ö base de extratos, essàncias ou concentrados ou Ö base de cafÇ;01/04/2022;31/12/9999;Res Camex;272;2021
2101.20;- Extratos, essàncias e concentrados de ch† ou de mate e preparaá‰es Ö base destes extratos, essàncias ou concentrados ou Ö base de ch† ou de mate;01/04/2022;31/12/9999;Res Camex;272;2021
2101.20.10;De ch†;01/04/2022;31/12/9999;Res Camex;272;2021
2101.20.20;De mate;01/04/2022;31/12/9999;Res Camex;272;2021
2101.30.00;- Chic¢ria torrada e outros sucedÉneos torrados do cafÇ e respectivos extratos, essàncias e concentrados;01/04/2022;31/12/9999;Res Camex;272;2021
21.02;"Leveduras (vivas ou mortas); outros microrganismos monocelulares mortos (exceto as vacinas da posiá∆o 30.02); p¢s para levedar, preparados.";01/04/2022;31/12/9999;Res Camex;272;2021
2102.10;- Leveduras vivas;01/04/2022;31/12/9999;Res Camex;272;2021
2102.10.10;Saccharomyces boulardii;01/04/2022;31/12/9999;Res Camex;272;2021
2102.10.90;Outras;01/04/2022;31/12/9999;Res Camex;272;2021
2102.20.00;"- Leveduras mortas; outros microrganismos monocelulares mortos";01/04/2022;31/12/9999;Res Camex;272;2021
2102.30.00;- P¢s para levedar, preparados;01/04/2022;31/12/9999;Res Camex;272;2021
21.03;"Preparaá‰es para molhos e molhos preparados; condimentos e temperos compostos; farinha de mostarda e mostarda preparada.";01/04/2022;31/12/9999;Res Camex;272;2021
2103.10;- Molho de soja;01/04/2022;31/12/9999;Res Camex;272;2021
2103.10.10;Em embalagens imediatas de conte£do inferior ou igual a 1ˇkg;01/04/2022;31/12/9999;Res Camex;272;2021
2103.10.90;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
2103.20;- Ketchup e outros molhos de tomate;01/04/2022;31/12/9999;Res Camex;272;2021
2103.20.10;Em embalagens imediatas de conte£do inferior ou igual a 1ˇkg;01/04/2022;31/12/9999;Res Camex;272;2021
2103.20.90;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
2103.30;- Farinha de mostarda e mostarda preparada;01/04/2022;31/12/9999;Res Camex;272;2021
2103.30.10;Farinha de mostarda;01/04/2022;31/12/9999;Res Camex;272;2021
2103.30.2;Mostarda preparada;01/04/2022;31/12/9999;Res Camex;272;2021
2103.30.21;Em embalagens imediatas de conte£do inferior ou igual a 1ˇkg;01/04/2022;31/12/9999;Res Camex;272;2021
2103.30.29;Outras;01/04/2022;31/12/9999;Res Camex;272;2021
2103.90;- Outros;01/04/2022;31/12/9999;Res Camex;272;2021
2103.90.1;Maionese;01/04/2022;31/12/9999;Res Camex;272;2021
2103.90.11;Em embalagens imediatas de conte£do inferior ou igual a 1ˇkg;01/04/2022;31/12/9999;Res Camex;272;2021
2103.90.19;Outra;01/04/2022;31/12/9999;Res Camex;272;2021
2103.90.2;Condimentos e temperos, compostos;01/04/2022;31/12/9999;Res Camex;272;2021
2103.90.21;Em embalagens imediatas de conte£do inferior ou igual a 1ˇkg;01/04/2022;31/12/9999;Res Camex;272;2021
2103.90.29;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
2103.90.9;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
2103.90.91;Em embalagens imediatas de conte£do inferior ou igual a 1ˇkg;01/04/2022;31/12/9999;Res Camex;272;2021
2103.90.99;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
21.04;"Preparaá‰es para caldos e sopas; caldos e sopas preparados; preparaá‰es aliment°cias compostas homogeneizadas.";01/04/2022;31/12/9999;Res Camex;272;2021
2104.10;"- Preparaá‰es para caldos e sopas; caldos e sopas preparados";01/04/2022;31/12/9999;Res Camex;272;2021
2104.10.1;Preparaá‰es para caldos e sopas;01/04/2022;31/12/9999;Res Camex;272;2021
2104.10.11;Em embalagens imediatas de conte£do inferior ou igual a 1ˇkg;01/04/2022;31/12/9999;Res Camex;272;2021
2104.10.19;Outras;01/04/2022;31/12/9999;Res Camex;272;2021
2104.10.2;Caldos e sopas preparados;01/04/2022;31/12/9999;Res Camex;272;2021
2104.10.21;Em embalagens imediatas de conte£do inferior ou igual a 1ˇkg;01/04/2022;31/12/9999;Res Camex;272;2021
2104.10.29;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
2104.20.00;- Preparaá‰es aliment°cias compostas homogeneizadas;01/04/2022;31/12/9999;Res Camex;272;2021
2105.00;Sorvetes (gelados*), mesmo que contenham cacau.;01/04/2022;31/12/9999;Res Camex;272;2021
2105.00.10;Em embalagens imediatas de conte£do inferior ou igual a 2ˇkg;01/04/2022;31/12/9999;Res Camex;272;2021
2105.00.90;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
21.06;Preparaá‰es aliment°cias n∆o especificadas nem compreendidas noutras posiá‰es.;01/04/2022;31/12/9999;Res Camex;272;2021
2106.10.00;- Concentrados de prote°nas e substÉncias proteicas texturizadas;01/04/2022;31/12/9999;Res Camex;272;2021
2106.90;- Outras;01/04/2022;31/12/9999;Res Camex;272;2021
2106.90.10;Preparaá‰es do tipo utilizado para elaboraá∆o de bebidas;01/04/2022;31/12/9999;Res Camex;272;2021
2106.90.2;P¢s, inclusive com adiá∆o de aá£car ou outro edulcorante, para a fabricaá∆o de pudins, cremes, sorvetes, flans, gelatinas ou preparaá‰es semelhantes;01/04/2022;31/12/9999;Res Camex;272;2021
2106.90.21;Para a fabricaá∆o de pudins, em embalagens imediatas de conte£do inferior ou igual a 1ˇkg;01/04/2022;31/12/9999;Res Camex;272;2021
2106.90.29;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
2106.90.30;Suplementos alimentares;01/11/2023;31/12/9999;Res Camex;499;2023
2106.90.40;Misturas Ö base de ascorbato de s¢dio e glucose pr¢prias para embutidos;01/04/2022;31/12/9999;Res Camex;272;2021
2106.90.50;Gomas de mascar, sem aá£car;01/04/2022;31/12/9999;Res Camex;272;2021
2106.90.60;Caramelos, confeitos, pastilhas e produtos semelhantes, sem aá£car;01/04/2022;31/12/9999;Res Camex;272;2021
2106.90.90;Outras;01/04/2022;31/12/9999;Res Camex;272;2021
22;Bebidas, l°quidos alco¢licos e vinagres.;01/04/2022;31/12/9999;Res Camex;272;2021
22.01;"µguas, incluindo as †guas minerais, naturais ou artificiais, e as †guas gaseificadas, n∆o adicionadas de aá£car ou de outros edulcorantes nem aromatizadas; gelo e neve.";01/04/2022;31/12/9999;Res Camex;272;2021
2201.10.00;- µguas minerais e †guas gaseificadas;01/04/2022;31/12/9999;Res Camex;272;2021
2201.90.00;- Outros;01/04/2022;31/12/9999;Res Camex;272;2021
22.02;µguas, incluindo as †guas minerais e as †guas gaseificadas, adicionadas de aá£car ou de outros edulcorantes ou aromatizadas e outras bebidas n∆o alco¢licas, exceto sucos (sumos) de fruta ou de produtos hort°colas da posiá∆o 20.09.;01/04/2022;31/12/9999;Res Camex;272;2021
2202.10.00;- µguas, incluindo as †guas minerais e as †guas gaseificadas, adicionadas de aá£car ou de outros edulcorantes ou aromatizadas;01/04/2022;31/12/9999;Res Camex;272;2021
2202.9;- Outras:;01/04/2022;31/12/9999;Res Camex;272;2021
2202.91.00;-- Cerveja sem †lcool;01/04/2022;31/12/9999;Res Camex;272;2021
2202.99.00;-- Outras;01/04/2022;31/12/9999;Res Camex;272;2021
2203.00.00;Cervejas de malte.;01/04/2022;31/12/9999;Res Camex;272;2021
22.04;"Vinhos de uvas frescas, incluindo os vinhos enriquecidos com †lcool; mostos de uvas, excluindo os da posiá∆o 20.09.";01/04/2022;31/12/9999;Res Camex;272;2021
2204.10;- Vinhos espumantes e vinhos espumosos;01/04/2022;31/12/9999;Res Camex;272;2021
2204.10.10;Tipo champanha (champagne);01/04/2022;31/12/9999;Res Camex;272;2021
2204.10.90;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
2204.2;"- Outros vinhos; mostos de uvas cuja fermentaá∆o tenha sido impedida ou interrompida por adiá∆o de †lcool:";01/04/2022;31/12/9999;Res Camex;272;2021
2204.21.00;-- Em recipientes de capacidade n∆o superior a 2ˇl;01/04/2022;31/12/9999;Res Camex;272;2021
2204.22;-- Em recipientes de capacidade superior a 2ˇl, mas n∆o superior a 10ˇl;01/04/2022;31/12/9999;Res Camex;272;2021
2204.22.1;Vinhos;01/04/2022;31/12/9999;Res Camex;272;2021
2204.22.11;Em recipientes de capacidade n∆o superior a 5ˇl;01/04/2022;31/12/9999;Res Camex;272;2021
2204.22.19;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
2204.22.20;Mostos;01/04/2022;31/12/9999;Res Camex;272;2021
2204.29;-- Outros;01/04/2022;31/12/9999;Res Camex;272;2021
2204.29.10;Vinhos;01/04/2022;31/12/9999;Res Camex;272;2021
2204.29.20;Mostos;01/04/2022;31/12/9999;Res Camex;272;2021
2204.30.00;- Outros mostos de uvas;01/04/2022;31/12/9999;Res Camex;272;2021
22.05;Vermutes e outros vinhos de uvas frescas aromatizados por plantas ou substÉncias arom†ticas.;01/04/2022;31/12/9999;Res Camex;272;2021
2205.10.00;- Em recipientes de capacidade n∆o superior a 2ˇl;01/04/2022;31/12/9999;Res Camex;272;2021
2205.90.00;- Outros;01/04/2022;31/12/9999;Res Camex;272;2021
2206.00;"Outras bebidas fermentadas (por exemplo, sidra, perada, hidromel, saquà); misturas de bebidas fermentadas e misturas de bebidas fermentadas com bebidas n∆o alco¢licas, n∆o especificadas nem compreendidas noutras posiá‰es.";01/04/2022;31/12/9999;Res Camex;272;2021
2206.00.10;Sidra;01/04/2022;31/12/9999;Res Camex;272;2021
2206.00.90;Outras;01/04/2022;31/12/9999;Res Camex;272;2021
22.07;"µlcool et°lico n∆o desnaturado, com um teor alco¢lico, em volume, igual ou superior a 80ˇ% vol.; †lcool et°lico e aguardentes, desnaturados, com qualquer teor alco¢lico.";01/04/2022;31/12/9999;Res Camex;272;2021
2207.10;- µlcool et°lico n∆o desnaturado, com um teor alco¢lico, em volume, igual ou superior a 80ˇ% vol.;01/04/2022;31/12/9999;Res Camex;272;2021
2207.10.10;Com um teor de †gua inferior ou igual a 1ˇ% vol.;01/04/2022;31/12/9999;Res Camex;272;2021
2207.10.90;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
2207.20;- µlcool et°lico e aguardentes, desnaturados, com qualquer teor alco¢lico;01/04/2022;31/12/9999;Res Camex;272;2021
2207.20.1;µlcool et°lico;01/04/2022;31/12/9999;Res Camex;272;2021
2207.20.11;Com um teor de †gua inferior ou igual a 1ˇ% vol.;01/04/2022;31/12/9999;Res Camex;272;2021
2207.20.19;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
2207.20.20;Aguardente;01/04/2022;31/12/9999;Res Camex;272;2021
22.08;"µlcool et°lico n∆o desnaturado, com um teor alco¢lico, em volume, inferior a 80ˇ% vol.; aguardentes, licores e outras bebidas espirituosas.";01/04/2022;31/12/9999;Res Camex;272;2021
2208.20.00;- Aguardentes de vinho ou de bagaáo, de uvas;01/04/2022;31/12/9999;Res Camex;272;2021
2208.30;- U°sques;01/04/2022;31/12/9999;Res Camex;272;2021
2208.30.10;Com um teor alco¢lico, em volume, superior a 50ˇ% vol., em recipientes de capacidade igual ou superior a 50ˇl;01/04/2022;31/12/9999;Res Camex;272;2021
2208.30.20;Em embalagens de capacidade inferior ou igual a 2ˇl;01/04/2022;31/12/9999;Res Camex;272;2021
2208.30.90;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
2208.40.00;- Rum e outras aguardentes provenientes da destilaá∆o, ap¢s fermentaá∆o, de produtos da cana-de-aá£car;01/04/2022;31/12/9999;Res Camex;272;2021
2208.50.00;- Gim e genebra;01/04/2022;31/12/9999;Res Camex;272;2021
2208.60.00;- Vodca;01/04/2022;31/12/9999;Res Camex;272;2021
2208.70.00;- Licores;01/04/2022;31/12/9999;Res Camex;272;2021
2208.90.00;- Outros;01/04/2022;31/12/9999;Res Camex;272;2021
2209.00.00;Vinagres e seus sucedÉneos obtidos a partir do †cido acÇtico, para uso alimentar.;01/04/2022;31/12/9999;Res Camex;272;2021
23;"Res°duos e desperd°cios das ind£strias alimentares; alimentos preparados para animais.";01/04/2022;31/12/9999;Res Camex;272;2021
23.01;"Farinhas, p¢s e pellets, de carnes, miudezas, peixes ou crust†ceos, moluscos ou de outros invertebrados aqu†ticos, impr¢prios para alimentaá∆o humana; torresmos.";01/04/2022;31/12/9999;Res Camex;272;2021
2301.10;"- Farinhas, p¢s e pellets, de carnes ou de miudezas; torresmos";01/04/2022;31/12/9999;Res Camex;272;2021
2301.10.10;De carne;01/04/2022;31/12/9999;Res Camex;272;2021
2301.10.90;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
2301.20;- Farinhas, p¢s e pellets, de peixes ou crust†ceos, moluscos ou de outros invertebrados aqu†ticos;01/04/2022;31/12/9999;Res Camex;272;2021
2301.20.10;De peixes;01/04/2022;31/12/9999;Res Camex;272;2021
2301.20.90;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
23.02;Sàmeas, farelos e outros res°duos, mesmo em pellets, da peneiraá∆o, moagem ou de outros tratamentos de cereais ou de leguminosas.;01/04/2022;31/12/9999;Res Camex;272;2021
2302.10.00;- De milho;01/04/2022;31/12/9999;Res Camex;272;2021
2302.30;- De trigo;01/04/2022;31/12/9999;Res Camex;272;2021
2302.30.10;Farelo;01/04/2022;31/12/9999;Res Camex;272;2021
2302.30.90;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
2302.40.00;- De outros cereais;01/04/2022;31/12/9999;Res Camex;272;2021
2302.50.00;- De leguminosas;01/04/2022;31/12/9999;Res Camex;272;2021
23.03;Res°duos da fabricaá∆o do amido e res°duos semelhantes, polpas de beterraba, bagaáos de cana-de-aá£car e outros desperd°cios da ind£stria do aá£car, borras e desperd°cios da ind£stria da cerveja e das destilarias, mesmo em pellets.;01/04/2022;31/12/9999;Res Camex;272;2021
2303.10.00;- Res°duos da fabricaá∆o do amido e res°duos semelhantes;01/04/2022;31/12/9999;Res Camex;272;2021
2303.20.00;- Polpas de beterraba, bagaáos de cana-de-aá£car e outros desperd°cios da ind£stria do aá£car;01/04/2022;31/12/9999;Res Camex;272;2021
2303.30.00;- Borras e desperd°cios da ind£stria da cerveja e das destilarias;01/04/2022;31/12/9999;Res Camex;272;2021
2304.00;Tortas (bagaáos) e outros res°duos s¢lidos, mesmo triturados ou em pellets, da extraá∆o do ¢leo de soja.;01/04/2022;31/12/9999;Res Camex;272;2021
2304.00.10;Farinhas e pellets;01/04/2022;31/12/9999;Res Camex;272;2021
2304.00.90;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
2305.00.00;Tortas (bagaáos) e outros res°duos s¢lidos, mesmo triturados ou em pellets, da extraá∆o do ¢leo de amendoim.;01/04/2022;31/12/9999;Res Camex;272;2021
23.06;Tortas (bagaáos) e outros res°duos s¢lidos, mesmo triturados ou em pellets, da extraá∆o de gorduras ou ¢leos vegetais ou de origem microbiana, exceto os das posiá‰es 23.04 ou 23.05.;01/04/2022;31/12/9999;Res Camex;272;2021
2306.10.00;- De sementes de algod∆o;01/04/2022;31/12/9999;Res Camex;272;2021
2306.20.00;- De linhaáa (sementes de linho);01/04/2022;31/12/9999;Res Camex;272;2021
2306.30;- De sementes de girassol;01/04/2022;31/12/9999;Res Camex;272;2021
2306.30.10;Tortas (bagaáos), farinhas e pellets;01/04/2022;31/12/9999;Res Camex;272;2021
2306.30.90;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
2306.4;- De sementes de nabo silvestre ou de colza:;01/04/2022;31/12/9999;Res Camex;272;2021
2306.41.00;-- Com baixo teor de †cido er£cico;01/04/2022;31/12/9999;Res Camex;272;2021
2306.49.00;-- Outros;01/04/2022;31/12/9999;Res Camex;272;2021
2306.50.00;- De coco ou de copra;01/04/2022;31/12/9999;Res Camex;272;2021
2306.60.00;- De nozes ou de amàndoas de palma (palmiste) (coconote);01/04/2022;31/12/9999;Res Camex;272;2021
2306.90;- Outros;01/04/2022;31/12/9999;Res Camex;272;2021
2306.90.10;De germe de milho;01/04/2022;31/12/9999;Res Camex;272;2021
2306.90.90;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
2307.00.00;"Borras de vinho; t†rtaro em bruto.";01/04/2022;31/12/9999;Res Camex;272;2021
2308.00.00;MatÇrias vegetais e desperd°cios vegetais, res°duos e subprodutos vegetais, mesmo em pellets, do tipo utilizado na alimentaá∆o de animais, n∆o especificados nem compreendidos noutras posiá‰es.;01/04/2022;31/12/9999;Res Camex;272;2021
23.09;Preparaá‰es do tipo utilizado na alimentaá∆o de animais.;01/04/2022;31/12/9999;Res Camex;272;2021
2309.10.00;- Alimentos para c∆es ou gatos, acondicionados para venda a retalho;01/04/2022;31/12/9999;Res Camex;272;2021
2309.90;- Outras;01/04/2022;31/12/9999;Res Camex;272;2021
2309.90.10;Preparaá‰es destinadas a fornecer ao animal a totalidade dos elementos nutritivos necess†rios para uma alimentaá∆o di†ria racional e equilibrada (alimentos compostos completos);01/04/2022;31/12/9999;Res Camex;272;2021
2309.90.20;Preparaá‰es Ö base de sal iodado, farinha de ossos, farinha de concha, cobre e cobalto;01/04/2022;31/12/9999;Res Camex;272;2021
2309.90.30;Bolachas e biscoitos;01/04/2022;31/12/9999;Res Camex;272;2021
2309.90.40;Preparaá‰es que contenham diclazuril;01/04/2022;31/12/9999;Res Camex;272;2021
2309.90.50;Preparaá‰es com um teor de cloridrato de ractopamina igual ou superior a 2ˇ%, em peso, com suporte de farelo de soja;01/04/2022;31/12/9999;Res Camex;272;2021
2309.90.60;Preparaá‰es que contenham xilanase e betagluconase, com suporte de farinha de trigo;01/04/2022;31/12/9999;Res Camex;272;2021
2309.90.70;Preparaá‰es com um teor de vitamina B12 igual ou superior a 0,1 %, mas n∆o superior a 1 %, em peso, com suporte Ö base de carbonato de c†lcio;01/10/2025;31/12/9999;Res Camex;771;2025
2309.90.90;Outras;01/04/2022;31/12/9999;Res Camex;272;2021
24;"Tabaco e seus sucedÉneos manufaturados; produtos, mesmo com nicotina, destinados Ö inalaá∆o sem combust∆o; outros produtos que contenham nicotina destinados Ö absorá∆o da nicotina pelo corpo humano.";01/04/2022;31/12/9999;Res Camex;272;2021
24.01;"Tabaco n∆o manufaturado; desperd°cios de tabaco.";01/04/2022;31/12/9999;Res Camex;272;2021
2401.10;- Tabaco n∆o destalado;01/04/2022;31/12/9999;Res Camex;272;2021
2401.10.10;Em folhas, sem secar nem fermentar;01/04/2022;31/12/9999;Res Camex;272;2021
2401.10.20;Em folhas secas ou fermentadas tipo capeiro;01/04/2022;31/12/9999;Res Camex;272;2021
2401.10.30;Em folhas secas em secador de ar quente (flue cured), do tipo Virg°nia;01/04/2022;31/12/9999;Res Camex;272;2021
2401.10.40;Em folhas secas, com um conte£do de ¢leos vol†teis superior a 0,2ˇ%, em peso, do tipo turco;01/04/2022;31/12/9999;Res Camex;272;2021
2401.10.90;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
2401.20;- Tabaco total ou parcialmente destalado;01/04/2022;31/12/9999;Res Camex;272;2021
2401.20.10;Em folhas, sem secar nem fermentar;01/04/2022;31/12/9999;Res Camex;272;2021
2401.20.20;Em folhas secas ou fermentadas tipo capeiro;01/04/2022;31/12/9999;Res Camex;272;2021
2401.20.30;Em folhas secas em secador de ar quente (flue cured), do tipo Virg°nia;01/04/2022;31/12/9999;Res Camex;272;2021
2401.20.40;Em folhas secas (light air cured), do tipo Burley;01/04/2022;31/12/9999;Res Camex;272;2021
2401.20.90;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
2401.30.00;- Desperd°cios de tabaco;01/04/2022;31/12/9999;Res Camex;272;2021
24.02;Charutos, cigarrilhas e cigarros, de tabaco ou dos seus sucedÉneos.;01/04/2022;31/12/9999;Res Camex;272;2021
2402.10.00;- Charutos e cigarrilhas, que contenham tabaco;01/04/2022;31/12/9999;Res Camex;272;2021
2402.20.00;- Cigarros que contenham tabaco;01/04/2022;31/12/9999;Res Camex;272;2021
2402.90.00;- Outros;01/04/2022;31/12/9999;Res Camex;272;2021
24.03;"Outros produtos de tabaco e seus sucedÉneos, manufaturados; tabaco ""homogeneizado"" ou ""reconstitu°do""; extratos e molhos de tabaco.";01/04/2022;31/12/9999;Res Camex;272;2021
2403.1;- Tabaco para fumar, mesmo que contenha sucedÉneos do tabaco em qualquer proporá∆o:;01/04/2022;31/12/9999;Res Camex;272;2021
2403.11.00;-- Tabaco para narguilÇ (cachimbo de †gua) mencionado na Nota de subposiá∆o 1 do presente Cap°tulo;01/04/2022;31/12/9999;Res Camex;272;2021
2403.19.00;-- Outros;01/04/2022;31/12/9999;Res Camex;272;2021
2403.9;- Outros:;01/04/2022;31/12/9999;Res Camex;272;2021
2403.91.00;"-- Tabaco ""homogeneizado"" ou ""reconstitu°do""";01/04/2022;31/12/9999;Res Camex;272;2021
2403.99;-- Outros;01/04/2022;31/12/9999;Res Camex;272;2021
2403.99.10;Extratos e molhos;01/04/2022;31/12/9999;Res Camex;272;2021
2403.99.90;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
24.04;"Produtos que contenham tabaco, tabaco reconstitu°do, nicotina ou sucedÉneos do tabaco ou da nicotina, destinados Ö inalaá∆o sem combust∆o; outros produtos que contenham nicotina destinados Ö absorá∆o da nicotina pelo corpo humano.";01/04/2022;31/12/9999;Res Camex;272;2021
2404.1;- Produtos destinados Ö inalaá∆o sem combust∆o:;01/04/2022;31/12/9999;Res Camex;272;2021
2404.11.00;-- Que contenham tabaco ou tabaco reconstitu°do;01/04/2022;31/12/9999;Res Camex;272;2021
2404.12.00;-- Outros, que contenham nicotina;01/04/2022;31/12/9999;Res Camex;272;2021
2404.19.00;-- Outros;01/04/2022;31/12/9999;Res Camex;272;2021
2404.9;- Outros:;01/04/2022;31/12/9999;Res Camex;272;2021
2404.91.00;-- Para aplicaá∆o oral;01/04/2022;31/12/9999;Res Camex;272;2021
2404.92.00;-- Para aplicaá∆o percutÉnea;01/04/2022;31/12/9999;Res Camex;272;2021
2404.99.00;-- Outros;01/04/2022;31/12/9999;Res Camex;272;2021
25;"Sal; enxofre; terras e pedras; gesso, cal e cimento.";01/04/2022;31/12/9999;Res Camex;272;2021
2501.00;"Sal (incluindo o sal de mesa e o sal desnaturado) e cloreto de s¢dio puro, mesmo em soluá∆o aquosa ou adicionados de agentes antiaglomerantes ou de agentes que assegurem uma boa fluidez; †gua do mar.";01/04/2022;31/12/9999;Res Camex;272;2021
2501.00.1;Sal a granel, sem agregados;01/04/2022;31/12/9999;Res Camex;272;2021
2501.00.11;Sal marinho;01/04/2022;31/12/9999;Res Camex;272;2021
2501.00.19;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
2501.00.20;Sal de mesa;01/04/2022;31/12/9999;Res Camex;272;2021
2501.00.90;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
2502.00.00;Piritas de ferro n∆o ustuladas.;01/04/2022;31/12/9999;Res Camex;272;2021
2503.00;Enxofre de qualquer espÇcie, exceto o enxofre sublimado, o precipitado e o coloidal.;01/04/2022;31/12/9999;Res Camex;272;2021
2503.00.10;A granel;01/04/2022;31/12/9999;Res Camex;272;2021
2503.00.90;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
25.04;Grafita natural.;01/04/2022;31/12/9999;Res Camex;272;2021
2504.10.00;- Em p¢ ou em escamas;01/04/2022;31/12/9999;Res Camex;272;2021
2504.90.00;- Outra;01/04/2022;31/12/9999;Res Camex;272;2021
25.05;Areias naturais de qualquer espÇcie, mesmo coradas, exceto areias metal°feras do Cap°tulo 26.;01/04/2022;31/12/9999;Res Camex;272;2021
2505.10.00;- Areias siliciosas e areias quartzosas;01/04/2022;31/12/9999;Res Camex;272;2021
2505.90.00;- Outras areias;01/04/2022;31/12/9999;Res Camex;272;2021
25.06;"Quartzo (exceto areias naturais); quartzitos, mesmo desbastados ou simplesmente cortados, Ö serra ou por outro meio, em blocos ou placas de forma quadrada ou retangular.";01/04/2022;31/12/9999;Res Camex;272;2021
2506.10.00;- Quartzo;01/04/2022;31/12/9999;Res Camex;272;2021
2506.20.00;- Quartzitos;01/04/2022;31/12/9999;Res Camex;272;2021
2507.00;Caulim (caulino) e outras argilas caul°nicas, mesmo calcinados.;01/04/2022;31/12/9999;Res Camex;272;2021
2507.00.10;Caulim (caulino);01/04/2022;31/12/9999;Res Camex;272;2021
2507.00.90;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
25.08;"Outras argilas (exceto argilas expandidas da posiá∆o 68.06), andaluzita, cianita, silimanita, mesmo calcinadas; mulita; barro cozido em p¢ (terra de chamotte) e terra de dinas.";01/04/2022;31/12/9999;Res Camex;272;2021
2508.10.00;- Bentonita;01/04/2022;31/12/9999;Res Camex;272;2021
2508.30.00;- Argilas refrat†rias;01/04/2022;31/12/9999;Res Camex;272;2021
2508.40;- Outras argilas;01/04/2022;31/12/9999;Res Camex;272;2021
2508.40.10;Pl†sticas, com um teor de Fe2O3, em peso, inferior a 1,5ˇ% e com perda por calcinaá∆o, em peso, superior a 12ˇ%;01/04/2022;31/12/9999;Res Camex;272;2021
2508.40.90;Outras;01/04/2022;31/12/9999;Res Camex;272;2021
2508.50.00;- Andaluzita, cianita e silimanita;01/04/2022;31/12/9999;Res Camex;272;2021
2508.60.00;- Mulita;01/04/2022;31/12/9999;Res Camex;272;2021
2508.70.00;- Barro cozido em p¢ (terra de chamotte) e terra de dinas;01/04/2022;31/12/9999;Res Camex;272;2021
2509.00.00;CrÇ.;01/04/2022;31/12/9999;Res Camex;272;2021
25.10;Fosfatos de c†lcio naturais, fosfatos aluminoc†lcicos naturais e crÇ fosfatado.;01/04/2022;31/12/9999;Res Camex;272;2021
2510.10;- N∆o mo°dos;01/04/2022;31/12/9999;Res Camex;272;2021
2510.10.10;Fosfatos de c†lcio naturais;01/04/2022;31/12/9999;Res Camex;272;2021
2510.10.90;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
2510.20;- Mo°dos;01/04/2022;31/12/9999;Res Camex;272;2021
2510.20.10;Fosfatos de c†lcio naturais;01/04/2022;31/12/9999;Res Camex;272;2021
2510.20.90;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
25.11;"Sulfato de b†rio natural (baritina); carbonato de b†rio natural (witherita), mesmo calcinado, exceto o ¢xido de b†rio da posiá∆o 28.16.";01/04/2022;31/12/9999;Res Camex;272;2021
2511.10.00;- Sulfato de b†rio natural (baritina);01/04/2022;31/12/9999;Res Camex;272;2021
2511.20.00;- Carbonato de b†rio natural (witherita);01/04/2022;31/12/9999;Res Camex;272;2021
